YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Elizabeth Fuentes Leone,1,1,AWS,Elizabeth Fuentes Leone.png,https://linkedin.com/in/lizfue,,,,Your Agent's Context Window Is Full. Now What?,"A tool returns 214KB of logs. The window overflows, the agent's answers get worse, and nothing throws an error. Another agent retries the same call fourteen times. A third freezes seventeen seconds on a slow tool and times out. None of them crash. They just quietly cost you money and accuracy.
This talk walks through the fix for all three: keep large outputs out of the window and pull them back by reference, give the agent a clear done signal so fourteen calls drop to two, and hand a slow tool a tracking id so a seventeen-second freeze becomes under two. You leave with working code, an open source repo, and a simple rule for which fix each failure needs.",,"Elizabeth Fuentes is a Developer Advocate and AI engineer specializing in agent harness architecture. Her work spans context engineering, agent memory, security guardrails, and taking agents to production. Through hands-on demos she breaks complex concepts into simple, understandable pieces of code, helping developers build more efficient agents and democratizing the adoption of advanced AI for everyone."
,confirmed,Paari Krishnamurthy,1,1,OpenAI,Paari Krishnamurthy.png,https://www.linkedin.com/in/paari-k-37b35a16/,,,,"No Evals, No Scale: An Operator’s Playbook for AI","Researchers already know evals are essential, but business and operations leaders often deploy AI without equivalent controls. Without clear evaluation, escalation, and accountability, organizations don’t scale AI, they scale risk. This talk reframes evals as the operational control layer that makes AI deployment reliable and gives leaders a practical framework for scaling with confidence.",,"Paari Krishnamurthy is a senior leader specializing in building and scaling post-sales and business operations across high-growth AI and SaaS companies. With a track record spanning four leading technology organizations, he has spearheaded key zero-to-one initiatives, including establishing the post-sales organization for Affirm Canada, which scaled to $75M+ in annual revenue across 12,000 customers."
,confirmed,Miles Maggio,1,1,Prest0,Miles Maggio.png,https://www.linkedin.com/in/milesprest0,,,,"Prest0 AI on the Rise of Self-developing AI Startup"": What's real, what's theater, what's next and the new rules of business in the AI era","What does it take to build a startup where AI helps develop the product, run operations, and improve the systems doing the work? Drawing on lessons from building Prest0 and deploying AI agents in real business environments, Miles Maggio separates practical capabilities from demo theater. He examines where self-developing systems can create value, where they still need human judgment, and why evaluation, oversight, and reliability matter more than an impressive one-off result.
The talk also explores the new business questions this raises: how to design teams, assess operating costs, and build a lasting advantage when AI is both part of the product and part of the workforce. Attendees will leave with a practical framework for evaluating autonomous AI claims, deciding what to automate now, and preparing for what comes next.",,"Miles Maggio is a recognized top Voice, keynote speaker, and founder specializing in real-world AI agent engineering. He is the Founder of Prest0, the creator of 24/7 AI employees designed to perform end-to-end digital work for enterprise law firms, finance, and marketing teams—a platform backed by a $350K seed round at a $20M post-money valuation.
With 14 years in software engineering and 3+ years dedicated exclusively to building B2B AI agents, Miles brings rare, hands-on production experience to the stage. He previously led an engineering team of seven delivering agentic systems that directly led to a successful company exit, and he has consulted for Fortune 50 brands on agentic architecture. Miles is a frequent speaker and advisor across platforms like the Global Skill Development Council, Founder’s Bay, and numerous industry workshops and podcasts."
,confirmed,Jack Murphy,1,1,DeepTempo,Jack Murphy.png,https://www.linkedin.com/in/jackgmurphy,,,,From the Frontlines of Finetuning: What Works and Why,"Deep Learning is an incredible, perhaps even mystical (read inscrutable), science: data goes in, backprop occurs, and incomprehensible algorithms are manifested. Finetuning is an integral part of this AI stack, and thus, despite the supposed onset of RSI, being aware of and understanding which techniques are most in accord with the Bitter Lesson is critical for achieving SOTA performance. Example topics will include: LoRA, Continual Learning, etc.",,"Jack Murphy is an Applied Deep Learning Researcher working on foundation language model training, finetuning, optimization, evaluation, and product integration at the intersection of Cybersecurity + AI. Before picking up Deep Learning he published research in Number Theory and studied Mathematics and Computer Science at Williams College."
,confirmed,Gully Burns,1,1,Altos Labs,Gully Burns.png,https://www.linkedin.com/in/gullyaburns/,,,,Claude Opus as a Tabletop Roleplaying GamesMaster for the Mythras Imperative Rule Set,"Roleplaying games are a natural fit for large language models (LLM), allowing them to assume the role of a narrator for a human user navigating an imaginary scenario. Without rules or memory, playing such a game degrades quickly as the LLM drifts, creates arbitrary outcomes with no tension, or misremembers details. Here, I will describe a Claude Skill that acts as a GamesMaster (GM) in a tabletop roleplaying game. Every action, encounter, conversation and item lives in a TypeDB database behind a 66-command CLI, so that the game is driven directly from this narrative state data. The system plays Mythras Imperative and Classic Fantasy Imperative — an openly-licensed (ORC) d100 system. The game is modeled as three layers: (A) universal rules; (B) a living world of NPC agendas on progress clocks producing beats scheduled against a world clock; and (C) epistemics, where each character's knowledge is a projection of data from a single source. True to form, success within the game must be determined through dice rolls so that gameplay is intrinsically stochastic and unpredictable. I will describe the system, and describe some gameplay experiences. The system could have applications to world modeling in non-gaming domains. For some players, RPGs provide a compelling experience of being transported into a story. I argue that the creative capabilities of LLMs combined with the scale of representation made possible by this type of agentic memory could support an entirely new type of gaming experience that transcends the capabilities of human-based TTRPGs.",,"Gully Burns is a Staff ML Scientist at Altos Labs, specializing in agentic curation and knowledge engineering to make cellular rejuvenation possible. He has 25+ years experience in the field spanning an Oxford PhD, USC’s ISI, and CZI (now bi[o]hub). He built Skillful-Alhazen, an open biocuration system based on agentic ‘ontological notebook memory’. A lifelong writer and tabletop role-player, in his spare time, he is exploring how AI systems can effectively GamesMaster (GM) traditional tabletop roleplaying games in a way that could provide insight into both world modeling and storytelling."
,confirmed,Stan Miasnikov,1,1,Verizon,Stan Miasnikov.png,https://www.linkedin.com/in/stanmiasnikov/,,,,RAG That Knows When to Stop: Error Budgets for Retrieval Loops,"Most RAG systems are assembled empirically and tuned against benchmarks; by contrast, Recursive Memory Retrieval (RMR) emerged as an application of a categorical structure that was developed for something else entirely. In this presentation, I will show how to derive a RAG system from first principles, starting from a categorical account of what a retrieval loop is and how it amplifies error. The same 2-categorical tolerance calculus that bounds error in entangled-photon protocols turns out to bound it in retrieval loops, yielding an error budget across hops, an irreducible floor beyond which more retrieval buys only noise, and a stopping rule that replaces the usual tuned hop count with a simple, interpretable quantity: the expected gain from one more hop.",,"Stan Miasnikov is a Distinguished Engineer in AI/ML, inventor, and independent researcher working at the intersection of artificial intelligence, category theory, and quantum information. His career spans applied AI, embedded systems, computer vision, and security, including work at Verizon, Amazon, Flex and others. His work also includes theoretical research, quantum-optics experiments, and the development of award-winning handwriting-recognition systems."
,confirmed,Sebastian Gomez,1,1,Buzz Solutions,Sebastian Gomez.png,https://www.linkedin.com/in/hire-jusegoram,,,,"Founding Engineer: Risk, Equity & AI","For ML and LLM engineers, joining a startup as a founding engineer can be one of the highest-leverage moves of their career and also one of the easiest opportunities to misunderstand.
We spend years learning distributed systems, model serving, evals, RAG, MLOps, and how to make GPUs do expensive things slightly faster. Then someone offers us 0.5% equity and suddenly we’re expected to understand dilution, strike prices, vesting, cliffs, preferred shares, liquidation preferences, runway, SAFEs, and whether “we’re raising our Series A soon” is good news.
This talk is about that transition.
I’ll break down the financial and startup concepts engineers should understand before accepting a founding-engineer role, how to reason about equity versus salary and risk, and the questions worth asking founders before joining. I’ll also cover what the job actually requires: moving beyond being a strong ML engineer into someone who can operate with ambiguity, talk to customers, make uncomfortable technical tradeoffs, understand the business, ship with incomplete information, and help build both the product and the engineering culture around it.
Finally, I’ll make the case for why the current AI cycle creates an unusual window for ML and LLM engineers to become founding team members and how to position yourself to capture the upside without treating every startup offer like a lottery ticket.",,"Sebastian Gomez is a staff-level engineer and former startup CTO who has spent 11 years building production systems, including the occasional system that probably should have started as a spreadsheet. He co-founded an AI insurtech, has built ML, LLM, data, and enterprise platforms from zero to production, and now works on production computer-vision infrastructure. Having sat on both sides of the founding-engineer conversation, he is particularly interested in helping engineers understand what they are actually signing up for."
,confirmed,Andrew Barkett,1,1,Miriel AI,Andrew Barkett.png,https://www.linkedin.com/in/andrew-barkett-9147473/,,,,"Your Agent Needs a Kernel, Not a Better Prompt","The thesis is that once an agent must remain responsive while doing long-running work, it stops being a chatbot and starts resembling an operating system. I’d show an architecture we’ve built at Miriel that separates real-time dialogue from deliberative work, with durable goals, a shared blackboard, system-call-like tool boundaries, and a scheduler that distinguishes progress, blocking, and runaway loops.
It would be a practical technical talk, grounded in working software and actual failure modes, but aimed at giving application developers a different mental model for how serious agents should be built.",,"Andy Barkett is the Founder and CEO of Miriel, bringing over 20 years of engineering and technology leadership across AI, databases, robotics, and consumer tech.
Previously, Andy worked on site reliability and search quality at Google and served as Director of Production Engineering at Facebook, where he led infrastructure, scalability, and performance for all major product lines. His executive background also includes serving as the first Chief Technology Officer for the Republican National Committee and leading technology strategy for Jeb Bush’s 2016 presidential campaign. In addition, he has served as CTO at Korbit, spearheading applied AI and big data implementations.
Andy holds a B.A. in Political Economy from UC Berkeley and an MBA from UC Davis. He is an active angel investor, startup advisor, guest lecturer across computer science and business at UC Berkeley and UC Davis, and an advisor for UC Berkeley’s Political Economy program."
,confirmed,Leon Lobo,1,1,Oracle,Leon Lobo.png,https://www.linkedin.com/in/leonlobo27/,,,,Designing Hybrid Intelligence for Enterprise Finance: Balancing Agentic Reasoning and Business Integrity,"AI agents in Enterprise finance products improve user experiences and allow building flexible business workflows. However, finance processes also depend on strict business rules, sensitive data handling and clear user control over consequential actions. This session explores which parts of a business workflow should use agentic reasoning, which should remain deterministic and where human oversight is essential. Using practical examples for enterprise finance, we will examine the failures that emerge when this balance is skewed with either rigid systems that cannot handle changing customer requirements or overly agentic and autonomous systems that compromise business integrity. We'll discuss engineering and product design solutions to maintain this balance for an enterprise product and a framework to apply the right combination of AI reasoning, deterministic controls, autonomy and human oversight.",,Leon Lobo is a Software Engineering Director at Oracle with 15+ years of experience building large scale ERP applications and finance systems. He leads the development of next generation agentic workflows for Oracle Fusion ERP Payables with a focus on the engineering and product design challenges of deploying AI in critical business processes. Leon in interested in the unique challenges within Enterprise AI and writes and speaks about the engineering and product design patterns needed to help resolve them.
,confirmed,Gabriel Nahum,1,1,GeyserData inc.,Gabriel Nahum.png,https://www.linkedin.com/in/gabrielnahum/,,,,Agents as the First Line of Defense,"What if agents were the first line of response for deployment problems—not just diagnosing issues, but actively fixing them? This talk explores how to leverage agents to automatically resolve build and test failures, identify runtime discrepancies, and execute runbooks, turning reactive deployment support into an intelligent, self-healing workflow.",,"Gabriel Nahum is an ai advisor at GeyserData inc specializing in machine learning, core infra and software engineering. Concurrently with Geyserdata he is a tl at meta and was a member of technical staff at xAI, where he contributed to the development of the Grok-4 and Grok-4.1 language models. Gabriel holds a B.S. in Electrical Engineering and Computer Science from the University of California, Berkeley, and brings extensive technical expertise across Python, mobile platforms, and large-scale AI systems."
