YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Rahul Azmeera,1,1,7-Eleven,Rahul Azmeera.png,https://www.linkedin.com/in/rahul-a-phd-410713202/,,,,Visual AI Testing Agent: Screenshot-First Mobile UI Test Automation for iOS Simulator,"Our research introduces Visual AI Testing Agent, an agentic framework designed to revolutionize mobile UI automation for iOS Simulators by leveraging Vision Language Models (VLMs). Unlike traditional locator-based tools like Appium or XCUITest, which often fail due to unstable identifiers or dynamic UI changes, our VLM-driven approach treats the screen as the primary interface. The agent captures the screen, processes visible elements through vision-based providers, and executes actions with human-like visual understanding. This talk will demonstrate how this agentic architecture enables predictive test case generation and provides development teams with actionable, early-stage insights. By shifting to a vision-first paradigm, we enable more robust, resilient, and intelligent automated testing cycles.",,"Rahul Azmeera, PhD, is a Senior Software Engineer at 7-Eleven and an Independent Researcher specializing in AI and software engineering. He holds a PhD in Information Technology from the University of The Cumberlands and a Master's degree in Technology from Pittsburg State University.
With extensive hands-on experience in full-stack web application development, AWS cloud architecture, UX design, and QA, he specializes in mobile application development using hybrid frameworks like React Native and Ionic. His current research focuses on vision-language models for intelligent software testing, agentic AI, and analyzing the root causes of software errors."
,confirmed,Geoff Niehaus,1,1,Today Mechanic,Geoff Niehaus.png,https://www.linkedin.com/in/geoffniehaus/,,,,One LLM Call Is the Wrong Default,"The typical default is one call to one model, and when that gets expensive, we cascade to something cheaper. Both accept the same premise: the input is one question. Usually, it isn't. A single photo, document or utterance carries several distinct questions, and one model answering all of them hands you its weakest answer in its most confident voice, at full price, every time. A cascade only changes the price. This talk makes the case for treating the input as a routing problem. Cheap classifiers decide which question you have, and each question goes to the model genuinely best at it, including the times the honest answer is that no model should answer. In our case we brought token spend under control, took a seventeen second wait down to under a second on the path that can prove its answer, and cut wrong answers from 25% to near zero.",,"Geoff Niehaus is the founder of Today Mechanic, an AI-powered platform that keeps auto repair shops' bays full by handling the customer conversation before the car ever reaches the lift. He spent the last four years at CVS Health (via Oak Street Health), most recently as Executive Director of Software Development Engineering, where he oversaw a program of 100+ engineers and led delivery of a production applied-AI system (retrieval over millions of clinical documents feeding an LLM) that lifted suspect-finding identification by 30% under HIPAA constraints and human-in-the-loop clinical validation. He also embedded AI-assisted development into the standard SDLC, pairing coding agents with a contract-first ""Design First"" practice that took code coverage from 40% to 80%+. He's a founding member of the Austin CTO Club and holds a pending patent for multi-tenant medical record access."
,confirmed,Rodney Richard Puplampu,1,1,Puplampu Consulting,Rodney Richard Puplampu.png,https://www.linkedin.com/in/rodneyrpuplampu/,,,,Ogummaa Agent Portal. Architecture & Security Blueprint for Long-Horizon Agents,"The Ogummaa Agent Portal is a comprehensive, sovereign AI workspace designed for secure, long-horizon task automation and conversational knowledge retrieval. The platform utilizes a decoupled microservices architecture—comprising an Admin Portal, Central Gateway, and Ingestion Pipeline—to ensure elastic scalability and rigorous environmental isolation. Its core engine, a GraphRAG (Graph Retrieval-Augmented Generation) and VectorRAG system for analytical graph processing, geo-spacial-temporal correlation, enabling sophisticated retrieval across massive enterprise datasets. The portal enforces a robust security paradigm through per-user sandbox isolation, a four-layer guardrail system, and a ""bring your own secrets"" model, while supporting unattended execution for recurring routines. By blending autonomous self-improvement loops with immutable event-based telemetry, and provides an enterprise-ready infrastructure for organizations prioritizing data sovereignty, multi-agent orchestration, and resilient AI deployment.",,"Rodney Puplampu, Principal AI Platform Engineer, Puplampu Consulting, author of What Everyone Should Know About the Rise of AI, creator of the Ogummaa Sovereign AI Platform, born in Detroit, Michigan in 1974, is a passionate advocate for safe, transparent, and ethical Artificial Intelligence (AI). With over thirty years of experience in network, security, telecom, full-stack applications, and sovereign agentic AI platforms, Rodney has held positions in the United States Army and worked for renowned companies such as AT&T, Lucent Technologies, Avaya, and HP. Throughout his career, he has consistently demonstrated his commitment to ensuring responsible and ethical business practices.
Rodney also has a passion for cleaning the environment. This extends to his advocacy for AI because he believes AI has the potential to help mankind address global challenges such as climate change and sustainable resource management.
His dedication to safety and transparency in AI is evident in his volunteer work and service to countless causes. He strongly believes that AI should be designed with safeguards to prevent it from being used for malicious purposes or to perpetuate discrimination. Rodney recognizes that AI should complement and enhance human capabilities rather than replace them."
,confirmed,Maryam Astero,1,1,Genomenon,Maryam Astero.png,https://www.linkedin.com/in/maryastero/,,,,"One Thing, Many Names: Building Reliable Entity Mapping","LLM systems are getting very good at extracting entities from messy documents. But extracting a mention is only the beginning. The harder problem is deciding what that mention actually refers to.
A single real-world entity can appear under different names, formats, abbreviations, and contexts across documents and databases. At the same time, different entities can look remarkably similar. A reliable system therefore needs more than entity extraction or similarity search. It needs a mapping step that decides which candidate, if any, represents the entity being described.
This is where similarity becomes both useful and insufficient. Database search, lexical matching, and embeddings are powerful ways to generate and rank candidates. But a high similarity score does not make a candidate the correct mapping. The system still has to account for ambiguity, context, available evidence, and what happens when no candidate meets the evidence threshold. Sometimes the right decision is not to map at all.
This talk looks at entity mapping as a distinct engineering problem in an LLM pipeline: using structured search and semantic similarity to find plausible candidates, understanding where those signals break down, and designing the decision layer that determines when a candidate is good enough to map, and when the system should abstain.
The goal is not to replace similarity with something else. It is to understand where similarity fits, and where the identity decision begins.",,"Maryam Astero is a Senior AI Research Engineer at Genomenon, where she builds production systems that turn unstructured scientific literature into structured, queryable knowledge. Her work spans document ranking, information extraction, entity resolution, and knowledge graph construction, with a focus on making these systems reliable beyond the prototype stage.
She holds a PhD in Computer Science from Aalto University, where she developed graph neural network architectures for chemical reaction modeling. She works at the meeting point of machine learning, graph-based methods, and production systems, particularly where ambiguity and imperfect data make seemingly simple problems hard to evaluate and scale."
,confirmed,Leila Anderson,1,1,Upheal,Leila Anderson.png,https://www.linkedin.com/in/leilaanderson/,,,,Evaluation Without Ground Truth: Lessons from Expert Disagreement,"Most LLM evaluation assumes a gold answer exists to score against. A large and growing share of production work, however, doesn't have one: contract review, clinical documentation, incident summaries, moderation calls, research synthesis — any task where correctness is a matter of expert judgment, and where two qualified experts given the same input produce different outputs that are both defensible. If you score that as if a single right answer existed, you collapse the errors that matter — a fabricated fact, a dropped material detail — into the same number as the ones that don't, like structure, emphasis, and phrasing.
This talk is about building evaluation for those systems, where the ground truth isn't a fixed key but a distribution of expert opinion, and where disagreement is built into the problem rather than a symptom of bad labeling. It unpacks three moves that improve accuracy and trustworthiness: treating inter-rater reliability among your experts as the ceiling on any eval you can build, using expert corrections as a live quality signal instead of a static gold set, and separating ""genuinely wrong"" from ""differently right"" so the score tracks the failures you actually care about.",,"Leila Anderson is a Senior Clinical AI Product Manager at Upheal, where she builds and evaluates the LLM systems behind clinical documentation for behavioral health. She's also a licensed marriage and family therapist (LMFT-S) with nearly a decade of clinical experience, which puts her on both sides of the eval problem this talk is about: the expert whose judgment the model is trying to match, and the person on the hook for deciding whether it did. Alongside her work at Upheal she runs a private psychotherapy practice and serves as an expert witness in clinical cases — two more roles where being the arbiter of a contested-but-defensible judgment is the whole job."
,confirmed,Felix Njeh,1,1,Nelix,Felix Njeh.png,linkedin.com/in/fnjeh,,,,Your AI Passed the Demo. But Did It Pass Validation?,"AI systems can produce impressive demos and still fail when exposed to real-world complexity, edge cases, changing data, and unexpected user behavior. Semiconductor engineers have spent decades addressing a similar problem through rigorous verification, coverage analysis, corner-case testing, fault injection, regression, and disciplined sign-off. This talk explores how those principles can be adapted to the evaluation of LLMs and increasingly autonomous AI agents, where a successful prompt or benchmark score is not sufficient evidence of system reliability. Attendees will leave with a practical framework for moving from “the AI works” to “we have evidence that this AI system is ready to deploy.”",,"Dr. Felix Njeh is a computer engineer, AI researcher, professor, author, and semiconductor engineering leader with decades of experience spanning hardware and system validation, AI/ML, edge computing, and intelligent systems. His engineering work includes semiconductor validation and verification at Intel and AI/ML systems research supporting advanced defense applications. He teaches graduate-level computing courses and is the author of Beyond Limits: AI-Powered Edge Architecture for Smart Devices and AI Unlocked: Harnessing Machines Without Losing Your Humanity. He is also Founder of the AI Crusaders Global Network™, an international initiative advancing practical, responsible, and human-centered AI education and adoption."
,confirmed,Colby Mainard,1,1,RiskScout,Colby Mainard.png,https://www.linkedin.com/in/colby-mainard/,,,,Invisible Data - The Largest Problem Facing AI,"No matter how well an AI pipeline is designed, it will always be limited by both quality and quantity of available data. However, real-world data rarely arrives nicely packaged and pre-normalized. In fact, it is probably safer to say that real-world data is the number one saboteur of existing machine learning applications. This talk will go over common data problems that have been seen in enterprise systems and the importance of curating data for pipelines of all varieties.",,"Colby Mainard is a machine learning engineer with more than five years of experience designing, deploying, and operating production ML systems, currently working as an AI/ML engineer at RiskScout on transaction anomaly detection, entity risk scoring, and network analysis across financial data. He holds a Master of Computer Science from Texas A&M University with a focus on artificial intelligence, machine learning, deep learning, and computer vision, along with a B.S. in Computer Science from the same institution with minors in business and cybersecurity. Earlier roles span sports analytics and cybersecurity, including computer vision pipelines for the NFL, NHL, MLB, and NBA at MVP, as well as Python and C++ data tooling for threat detection at Vectra. Outside of work he studies quantum computing, plays Dungeons and Dragons, enjoys learning about history, and shoots landscape photography."
,confirmed,Kunle Olutomilayo,1,1,Isiro AI,Kunle Olutomilayo.png,https://www.linkedin.com/in/kunleolutomilayo/,,,,"30% More GPU Headroom, No Quantization","Self-management of AI model deployments on-prem and in private cloud infrastructures is becoming increasingly popular. The release of open-weight models with comparable performance to frontier models is accelerating the shift. However, deploying the models requires hardware accelerators (such as GPUs) with large memory, which is expensive. While individuals and regular deployments can afford to accept the accuracy penalties that result from quantizing or approximating the models for memory reduction, high-stakes industries such as finance, health care, defense, and enterprise AI would rather not take the chance. What if we can reduce GPU memory without sacrificing accuracy? This talk will discuss lossless model compression delivering 30% more GPU headroom without changing the model output. Model weights are bit-for-bit exact with cryptographic hash verification, and they remain compressed in the GPU while they run. The talk will include cases of up to 110% more memory for KV cache where the GPU was already memory-constrained. It will also provide insights into KV cache bit-exact optimization as the next lever for lossless inference efficiency.",,"Kunle Olutomilayo is the Founder of Isiro AI, lowering the cost of ownership for self-managed AI infrastructure. The company focuses on lossless reduction of the hardware memory required for model deployments, without changing the model output. Kunle's core thesis is that the next wave of inference cost savings will not only come from faster chips or smaller models, but also from kernel software breakthroughs that move less data to address the memory wall problem, without changing what the model produces. This is especially important in regulated and high-stakes environments, such as finance, health care, defense, and enterprise AI, where cost savings must not come at the expense of predictable model behavior. Kunle holds a PhD in Electrical Engineering and previously worked on advanced AI and vehicle autonomy at Ford Greenfield Labs."
,confirmed,Yuri Streciwik,1,1,Dell Technologies,Yuri Streciwik.png,https://www.linkedin.com/in/yuri-streciwik/,,,,The Inference Tax: Why Your Token Costs Stop Making Sense at Scale,"Most teams building with LLMs meet a point where inference cost stops tracking with usage, and the reasons are invisible from the application layer. The constraints that actually set your cost per token are physical — memory bandwidth, power draw per rack, thermal headroom, and how badly your workload underutilizes the accelerator you're paying for. This talk walks through what happens underneath an inference request at the hardware level, why batching and context length hit economic cliffs rather than smooth curves, and which of those limits are architectural versus fixable in software. Attendees should leave able to read their own inference spend as a systems problem instead of a line item, and to tell which optimizations are worth engineering time.",,"Yuri Streciwik is a Senior Product Manager for AI Server and GPU Systems at Dell, where he is a Sr Product Manager for a rack-scale GPU-dense server. He works across silicon partners, thermal and power design, and enterprise GenAI deployment. Before moving into datacenter infrastructure product management he spent seven years in engineering across hydro, wind, and oil and gas in Brazil, China, and France. He holds an MBA from Duke Fuqua and writes Flesh & Inference, a newsletter on AI infrastructure."
,confirmed,Matt Barge,1,1,Superbuilders,Matt Barge.png,https://www.linkedin.com/in/matt-barge-7039a532/,,,,Selling Commercial Real Estate with Grok Bot,"This talk is a field report on using Grok Bot to sell commercial real estate. I’ll show the live stack I used on real deals: Grok Bot as the operating layer across buyer inbound and follow-up, Quo for the sales phone line and texts, a dedicated /buy sales website and deal room, Google Drive diligence packs, and offering memorandums, all powered by Grok Bot.
We’ll cover what the agent actually does day to day (watching inbound, drafting first-touch that leads with income, logging buyer calls, keeping board copy and the OM in sync, chasing listing-agreement issues) and where humans still have to approve sends. Expect concrete CRE examples, the connectors and artifacts that made it work, and the failure modes that show up when an agent touches real buyers.",,"Matt Barge is a Forward Deployed AI Engineer at Superbuilders, based in Austin, Texas. He builds production AI systems for go-to-market and operations, and manages and sells commercial real estate assets in Texas. He previously built iOS products at MoneyGram and has spent the last several years putting LLM agents to work. More at mattbarge.com."
