YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Karen Zhou,1,1,Anthropic,Karen Zhou.png,https://www.linkedin.com/in/karenzhou0/,,,,Building Evaluation Systems for AI Coding Agents at Scale,"As AI coding assistants move from novelty to daily workflow, how do we know they're actually helping? This talk explores the technical and philosophical challenges of evaluating AI coding agents when they're deployed to millions of users.
Turning user feedback into signal: Users complain, report issues, and express frustration—but this unstructured feedback is gold for improving models. I'll discuss approaches for transforming messy real-world feedback into structured evaluation datasets, including clustering techniques and rubric generation for consistent assessment.
Measuring subtle failures: Some problems are easy to benchmark; others are felt more than measured. ""Laziness,"" overconfidence, and instruction-following failures don't show up in traditional evals. I'll share frameworks for detecting these behavioral issues through automated assessment pipelines.
The evaluation bottleneck: In my experience, evaluation infrastructure often becomes the limiting factor for model improvement. I'll discuss why building robust eval systems deserves as much engineering investment as the models themselves, and what that looks like in practice.
Multi-agent architectures and new challenges: As coding agents become more autonomous and collaborative, evaluation gets harder. How do you assess a swarm? What metrics matter when agents coordinate on complex tasks?
Closing the loop: Connecting evaluation back to training through RL and human feedback pipelines—what works, what doesn't, and where the field is heading.",,"Karen is a member of technical staff at Anthropic, where she works on developing product eval, RL environments, and multi-agent product features for Claude Code. She builds evaluation systems and feedback pipelines that assess how AI models behave in real-world software development scenarios, transforming user feedback into useful evals for model improvement. On the product side, she actively drives the development of swarm and multi-agent functionality that enables multiple AI agents to collaborate on complex software engineering tasks. Prior to Anthropic, Karen worked at Meta on large language models."
,confirmed,Adna Zujo Lakisic,1,1,MetalBear,Adna Zujo Lakisic.png,https://www.linkedin.com/in/adna-zujo-lakisic/,,,,The Limits of Vibe Coding: What Happens When AI-Generated Code Lands in Your Cluster,"Most people aren't vibe coding an entire app from scratch and shipping it to production without a second thought. What’s more likely to happen is more subtle and potentially riskier. You've got a pre-existing service running in your cluster, it's been reviewed, it has access to your database, your secrets, your internal APIs. Then someone asks an AI assistant to add a feature. The generated code works, great! But, it also hardcodes an API key, or passes raw model output to users, or creates a public ingress to an internal service. And it lands inside a system that already has the keys to everything. The recent [Moltbook incident](https://www.wiz.io/blog/exposed-moltbook-database-reveals-millions-of-api-keys) made these blaring security concerns around AI generated code blaringly apparent, a single missing config exposed 1.5 million API keys. At a certain point AI-generated code will make its way into Kubernetes clusters and the security implications are real, are we ready to address them?

In this talk we'll break down the specific risks that AI-generated code introduces when it lands in Kubernetes, from pod security and secret management to network exposure and LLM workloads. Then we'll build the fix: open-source security skills you drop into your AI coding assistant so it generates secure defaults automatically. We'll validate those skills against a live cluster using mirrord, no image rebuilds, no redeploys, just fast feedback until the policies actually work. You'll leave with a repo you can use today and an answer to the question every team shipping AI-generated code needs to figure out: if AI writes the code, what reviews it?",,"Adna Zujo Lakisic is a Solutions Engineer based in North America, currently working at MetalBear. She brings a strong engineering background spanning software development, technical consulting, and solutions engineering across media, marketing, and technology companies. Prior to MetalBear, she spent several years as a Senior Engineer at Haymarket Media US, where she supported large scale digital platforms. Her experience also includes technical consulting roles at Omega IT and solutions engineering at Midan Marketing, with hands on work in areas such as Terraform, Python, Kubernetes, and cloud infrastructure. Earlier in her career, Adna helped shape and fund a mobile tour guide platform focused on promoting tourism in Mostar through curated self guided experiences."
,confirmed,Tim Spann,1,1,Snowflake,Tim Spann.png,https://www.linkedin.com/in/timothyspann/,,,,"From TrafficAI to GhostBreakers: Building Stateful AI Agents with Cortex, OpenFlow, and Snowflake Postgres","Generative AI is more than stateless chatbots. Real value lies in stateful, production-grade agents that act on your data. This session is a developer's blueprint for building these agents natively in Snowflake.",,"Tim Spann is a Senior Solutions Engineer and an ex-Developer Advocate @ Streamnative, a streaming developer advocate, open source advocate, a blogger at DZone and an experienced data engineer with 15 years of experience. He runs the Future of Data Princeton meetup as well as other events. He has spoken at Philly Open Source, ApacheCon in Montreal, Strata NYC, Oracle Code NYC, IoT Fusion in Philly, meetups in Princeton, NYC, Philly, Berlin and Prague, DataWorks Summits in San Jose, Barcelona, D.C., Berlin and Sydney. I spoke at Nethope Globa Summit twice and would love to assist in other charitable data events and activities. I was a Principal DataFlow Field Engineer at Cloudera. I was a Senior Field Engineer at Pivotal, a Senior Solutions Architect at airsData and a Senior Solutions Engineer at Hortonworks."
,confirmed,Lior Schejter,1,1,,Lior Schejter.png,https://www.linkedin.com/in/liors/,,,,MAD About Software Design - When AI Architects Argue,"What if software design debates weren’t between engineers…but between AI agents? We’ll explore the pattern of multi-agent debate, and how it can be applied to software design questions. What’re the challenges, and how can it complement human architectural thinking.",,"A software professional for over 20 years and software enthusiast for over 40 years.
Still curious about how to develop software better, in whatever scale.
And generally curious about how things work in the world."
,confirmed,Noam Levy,1,1,groundcover,Noam Levy.png,https://www.linkedin.com/in/noam-e-levy/,,,,Don't Panic: It's Not Just You - LLM Trace Sampling Doesn't Work,"Traditional distributed tracing relies on sampling strategies optimized for microservices: keep slow traces, keep error traces, and drop the rest. This approach fundamentally breaks down for LLM-powered systems. In LLM traces, latency & error signals are often meaningless: long latencies are expected, short latencies can still hide severe quality failures, and “errors” rarely correspond to the user-facing outcome. The true signal lies in the semantic content of the trace itself - prompts, intermediate reasoning steps, tool calls, and model outputs. As a result, conventional head-based or tail-based sampling systematically discards the most important traces while retaining large volumes of low-value data. This talk will show that effective observability for LLM systems requires a shift from signal-based sampling to content-aware sampling. The only viable way to sample intelligently is to run evaluations directly on span contents, scoring traces by quality, safety, correctness, and alignment with task intent. We explore how eval-driven sampling reframes tracing from performance diagnostics to outcome diagnostics, and why it is essential for operating LLM systems reliably at scale.",,"Noam Levy is a Field CTO at groundcover. Over the last 10 years, Noam has been a part of and led development teams focused on microservices-oriented web applications, monitoring complex application pipelines, and system engineering. When not handling pull requests and responding to questions in the groundcover Slack community, you can find Noam attempting to reverse engineer musicals and indie rock music on the guitar and piano."
,confirmed,Michael Levan,1,1,solo.io,Michael Levan.png,https://www.linkedin.com/in/michaellevan/,,,,Securing & Building Agentic OSS Environments,"The most popular advancements in cloud-native technology at this time are LLMs and AI Agents, which can help you troubleshoot your environment, build new environments, and even template a codebase.

The two current problems are that there's no way to secure the traffic (e.g, reaching out to MCP servers, workload identity and authentication (SPIRE), and A2A), and Agents can't run by default in Kubernetes.

Luckily, there are two open-source tools to help with this.

In this session, you'll learn about two tools that can help you on this journey: agentgateway and kagent.",,"Michael Levan is an AI architect and principal solutions engineer at Solo.io, focused on building high performing agentic and Kubernetes environments. A CNCF Ambassador, published author, and frequent speaker, he works at the intersection of platform engineering, cloud native infrastructure, and applied AI. Based in the New York City area, Michael is known for translating complex systems into practical architectures that deliver clear business value."
,confirmed,Ben Savage,1,1,Veritas Automata,Ben Savage.png,https://www.linkedin.com/in/ben-savage-0700b21/,,,,"Exploring the Convergence of Machine Learning, AI, and Cloud-Native Technologies in Automation","Harnessing the power of Machine Learning (ML), Artificial Intelligence (AI), and cloud-native technologies is no longer optional; it's a necessity for driving scalable automation and innovation.",,"Ben Savage, serving as the visionary CEO of Veritas Automata, brings to the forefront an extensive background in revolutionizing autonomous transaction processing through the strategic integration of blockchain, smart contracts, and machine learning. His tenure at Veritas Automata is marked by an unwavering commitment to innovation, operational efficiency, and leveraging technology for transformative business solutions. Prior to leading Veritas Automata, Ben was instrumental in shaping the future of IoT solutions as the CTO and Chief Innovation Officer at Apex Supply Chain Technologies, where he pioneered the development of the groundbreaking Pizza Portal for Little Caesars among other complex IoT applications.

With a career spanning over two decades, Ben's expertise encompasses product development, embedded systems, cloud computing, and supply chain management, honed through significant roles at Apex, Maersk, and Computer Science Corporation. His pioneering work has been recognized with numerous domestic and international patents, underscoring his contribution to advancing technology and business practices. Furthermore, Ben's thought leadership and strategic insights have made him a valued member of multiple advisory boards, where he continues to influence the direction of technological innovation and industry standards.

At the helm of Veritas Automata, Ben Savage is not just leading a company; he is steering an industry towards a future where technology serves as a cornerstone for efficiency, security, and growth, embodying the ethos of innovation, improvement, and inspiration that Veritas Automata champions."
,confirmed,Alisson Sol,1,1,Stealth Startup,Alisson Sol.png,https://www.linkedin.com/in/alissonsol/,,,,The way to Edge AI,"As telecommunications evolves toward 6G, Radio Access Networks (RAN) will fundamentally transform application architecture beyond today's approach of endpoints calling LLMs on remote data centers. This presentation examines three critical software development challenges for the next decade:

- Real-time AI at the Edge: Moving from cloud-dependent inference to distributed processing meeting RAN's strict latency requirements.
- Multi-tenant Resource Optimization: Transitioning to shared platforms where AI workloads coexist while maintaining service-level agreements.
- Federated Learning and Privacy: Shifting from centralized training to federated approaches preserving privacy across distributed networks.

The goal is sharing a roadmap for AI-native infrastructure where intelligence lives at the network edge.",,"Alisson Sol is a hands-on engineering leader with deep expertise in distributed systems, AI, and scaling products to millions of users at top tech companies. More info at [https://AlissonSol.com](https://AlissonSol.com)"
,confirmed,Clement Perrot,1,1,Prynt,Clement Perrot.png,https://www.linkedin.com/in/clementperrot/,,,,10 Lessons from building High-Stakes Agents,"Moving Generative AI from proof-of-concept to production in high-stakes industries like Fintech and Healthcare requires a fundamental strategic shift. Drawing from real-world deployments at the AWS GenAI Innovation Center, this session explores ten critical lessons learned building autonomous agents for complex use cases. We will dive into ""Model as a Judge"" evaluation frameworks, architectural trade-offs between rigid pipelines and flexible agents, and why hallucinations are essential signals for system optimization. Attendees will receive a framework for prioritizing accuracy, building auditable reasoning chains, and creating internal feedback loops for self-improving deployments.",,"As Sr GenAI Strategist for Startups at the AWS GenAI Innovation Center, Clément Perrot leads Applied Scientists helping top-tier startups accelerate AI initiatives across B2B, Healthcare, and Fintech. Previously, Clément founded and exited Prynt (AR instant cameras) and Zenlaw (AI automation for Real Estate). He is a mentor at ERA and Zero to One Collective, an investor in over 50 companies, and holds multiple AWS certifications. He studied at UC Berkeley (EECS) and Ecole Polytechnique."
,confirmed,Jeremy Curcio,1,1,Fearless,Jeremy Curcio.png,https://www.linkedin.com/in/jccurcio/,,,,Engineering Better Prompts for AI Assisted Development,"When asking AI to help refactor a method, do you get back something that runs, but would never pass review? The difference between frustrating and useful AI interactions comes down to how you build your prompt. This talk offers practical advice you can apply to get better results.",,"My name is Jeremy Curcio, I'm a software engineer currently working at Login.gov as an Integration Engineer, splitting my time between supporting partners to develop their integrations and writing code to support the mission. I've been developing software professionally for 12 years, with the last 6 years being working in Ruby. Outside of work, I am very involved with my kids by coaching their baseball, soccer, and basketball teams, as well as being President of their schools' PTA."
