YouTubel,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Lior Mechlovich,1,1,Salespeak,Lior Mechlovich.png,https://www.linkedin.com/in/lior-mechlovich/,,,,From Tool Calls to Revenue: Metering and Billing AI workfloads at Scale,"Building an MCP server is getting easier. Monetizing one is not.
At first, usage-based billing looks simple: count tool calls, aggregate them monthly, and send an invoice. But once AI workloads move into production agent workflows, the definition of “usage” becomes much harder. Was that one tool call or ten? Should you bill for tokens, API calls, records retrieved, compute time, successful outcomes, or prepaid credits consumed? What happens when an agent retries, chains tools, streams results, or calls the same resource through multiple clients?
In this session, we’ll dive into the infrastructure behind trustworthy metering and pricing for MCP-native products. We’ll cover how to design a billing pipeline that can:
- Count usage once and only once, even with retries, failures, and agent loops
- Handle high-volume event streams from MCP tool calls
- Give customers real-time visibility into current-period usage
- Support pay-as-you-go, prepaid credits, drawdown models, and hybrid pricing
- Preserve developer trust by making usage explainable and auditable",,"Lior Mechlovich is the CTO and co-founder of salespeak.ai. Before Salespeak, he was the co-founder of amberflo.io and led engineering teams at AWS and Informatica."
,confirmed,Miles Maggio,1,1,Prest0,Miles Maggio.png,https://www.linkedin.com/in/milesprest0,,,,"Prest0 AI on the Rise of Self-developing AI Startup"": What's real, what's theater, what's next and the new rules of business in the AI era",Coming soon...,,"Miles Maggio is a recognized top Voice, keynote speaker, and founder specializing in real-world AI agent engineering. He is the Founder of Prest0, the creator of 24/7 AI employees designed to perform end-to-end digital work for enterprise law firms, finance, and marketing teams—a platform backed by a $350K seed round at a $20M post-money valuation.
With 14 years in software engineering and 3+ years dedicated exclusively to building B2B AI agents, Miles brings rare, hands-on production experience to the stage. He previously led an engineering team of seven delivering agentic systems that directly led to a successful company exit, and he has consulted for Fortune 50 brands on agentic architecture. Miles is a frequent speaker and advisor across platforms like the Global Skill Development Council, Founder’s Bay, and numerous industry workshops and podcasts."
,confirmed,Avneesh Sharma,1,1,Amazon,Avneesh Sharma.png,https://www.linkedin.com/in/avneesh-sharma/,,,,Evidence Grounded Context Layer for AI Agents,"Intelligence is hardly a limiting factor these days. Most production agents fail to give the right response because of evidence failures. Because the agent's picture of the world is stale, conflicting, unattributed, and no amount of prompt engineering or model upgrades can fix that as retrieval can find the text, but not the truth. Worse, when the system recommends action and if evals do not find the problem with the action, the feedback might never come or comes via a customer-facing issue. The solution pattern we use: an ontology that defines what entities and claims mean, a graph that holds the evidence with its source, timestamp, and lineage, a vector index for finding candidate evidence, and an orchestrating agent on top that resolves conflicts, cites what it used, and refuses when the evidence isn't there.",,"Avneesh Sharma is a software engineer focused on production AI/ML systems, specializing in LLMOps, evals, RAG, and scalable architecture. He brings a practical, software-first mindset to building reliable AI beyond the prototype stage.
He writes about AI infrastructure and engineering judgment at Build Tech Career."
,confirmed,Elizabeth Fuentes Leone,1,1,AWS,Elizabeth Fuentes Leone.png,https://linkedin.com/in/lizfue,,,,Your Agent's Context Window Is Full. Now What?,"A tool returns 214KB of logs. The window overflows, the agent's answers get worse, and nothing throws an error. Another agent retries the same call fourteen times. A third freezes seventeen seconds on a slow tool and times out. None of them crash. They just quietly cost you money and accuracy.
This talk walks through the fix for all three: keep large outputs out of the window and pull them back by reference, give the agent a clear done signal so fourteen calls drop to two, and hand a slow tool a tracking id so a seventeen-second freeze becomes under two. You leave with working code, an open source repo, and a simple rule for which fix each failure needs.",,"Elizabeth Fuentes is a Developer Advocate and AI engineer specializing in agent harness architecture. Her work spans context engineering, agent memory, security guardrails, and taking agents to production. Through hands-on demos she breaks complex concepts into simple, understandable pieces of code, helping developers build more efficient agents and democratizing the adoption of advanced AI for everyone."
,confirmed,Paari Krishnamurthy,1,1,OpenAI,Paari Krishnamurthy.png,https://www.linkedin.com/in/paari-k-37b35a16/,,,,"No Evals, No Scale: An Operator’s Playbook for AI","Researchers already know evals are essential, but business and operations leaders often deploy AI without equivalent controls. Without clear evaluation, escalation, and accountability, organizations don’t scale AI, they scale risk. This talk reframes evals as the operational control layer that makes AI deployment reliable and gives leaders a practical framework for scaling with confidence.",,"Paari Krishnamurthy is a senior leader specializing in building and scaling post-sales and business operations across high-growth AI and SaaS companies. With a track record spanning four leading technology organizations, he has spearheaded key zero-to-one initiatives, including establishing the post-sales organization for Affirm Canada, which scaled to $75M+ in annual revenue across 12,000 customers."
,confirmed,Pujitha Paladugu,1,1,Independent Researcher,Pujitha Paladugu.png,https://www.linkedin.com/in/pujitha-paladugu-ab977682/,,,,Zero-Trust Edge Security for Enterprise LLM Applications,"Enterprise LLM applications introduce new security risks at the point where users, AI agents, APIs, and model-serving platforms interact. Prompt injection, unauthorized model access, sensitive-data exposure, denial-of-service attacks, and insecure backend connectivity require security controls that extend beyond traditional application boundaries. This session presents a vendor-neutral zero-trust edge architecture for protecting enterprise LLM and generative AI workloads. The framework is built around four core security primitives: globally distributed edge gateways with DDoS protection, Web Application Firewall enforcement, private connectivity to model endpoints, and end-to-end TLS with mutual authentication. Attendees will learn how these controls can secure LLM APIs, retrieval-augmented generation pipelines, AI agents, and inference services while supporting identity-aware access, regional data restrictions, and secure communication between application and model layers. The session also examines residual risks, including prompt injection, model abuse, compromised dependencies, certificate-management challenges, and insider threats. The architecture is mapped across Microsoft Azure, AWS, Google Cloud, and Cloudflare to demonstrate how organizations can implement consistent protections across multi-cloud AI environments. The session concludes with practical guidance on secure Infrastructure-as-Code templates, continuous policy tuning, private endpoint management, certificate lifecycle automation, and monitoring for suspicious LLM traffic patterns.",,"Pujitha Sri Lakshmi Paladugu is an independent researcher with over ten years of experience in distributed cloud infrastructure, secure edge architecture, global traffic routing, and AI-inference systems. She specializes in building secure, resilient, and highly available platforms, including zero-downtime traffic migrations, cloud modernization, distributed databases, and infrastructure automation. She is the primary author of the 2026 peer-reviewed paper, “Matching Frontier Code Agents with Lightweight Models via Multi-Model Consultation,” and has published technical work on zero-trust architecture, AI-inference routing, confidential computing, observability, and SLO engineering. She also serves as a technical reviewer and hackathon judge. Pujitha holds an M.S. in Computer Science from The University of Texas at Dallas and a B.Tech. in Computer Science from SASTRA University."
,confirmed,Funmilade A. Lesi,1,1,Root Inc.,Funmilade A. Lesi.png,https://www.linkedin.com/in/funmilesi/,,,,Gen AI Product Strategy,"Generative AI is rapidly transforming how products are conceived, built, and delivered—but realizing its value requires more than simply integrating an AI model into an existing workflow. This presentation explores a practical framework for identifying where GenAI can create meaningful business and customer value, prioritizing the right opportunities, and translating those opportunities into scalable AI-powered products.
The goal is to provide product leaders and innovators with a practical approach to turning generative AI from an emerging technology into a durable source of product differentiation, operational efficiency, and measurable business impact.",,"Product leader with experience across Root Insurance, Box, and Meta, driving enterprise SaaS growth and building transformative platforms at scale. Proven track record of taking products from 0→1 through global scale, leading high-impact platform and infrastructure initiatives across Fortune 500 and mid-market organizations. Combines deep product strategy, technical leadership, and commercial acumen to build platforms that unlock new revenue, accelerate enterprise adoption, and create durable competitive advantage."
,confirmed,Devang Sharma,1,1,Meta,Devang Sharma.png,https://www.linkedin.com/in/devang25/,,,,"Inference Economics: Engineering LLMs for Cost, Latency, and Scale","LLM inference has quietly become the biggest cost line in most AI products. As models get bigger and traffic grows, teams are watching their bills scale linearly while their margins collapse. The teams that win in 2026 won't be the ones with the biggest models. They'll be the ones who figured out how to serve them 10x cheaper without sacrificing quality.
This talk goes deep on the engineering frontier of LLM inference, covering the levers that actually move the needle in production: KV-cache optimization, speculative decoding, quantization (INT8, INT4, GPTQ, AWQ), continuous batching, PagedAttention, and speculative parallelism. We'll cover the trade-offs between vLLM, TensorRT-LLM, and custom serving stacks, and when each one makes sense. Then we'll get into the architectural decisions that matter most: intelligent model routing, hybrid hosted-vs-self-hosted deployments, caching strategies for LLM workloads, and how to design cost-aware inference pipelines that degrade gracefully under load.
Expect production war stories, real benchmarks, and a concrete framework for cutting inference costs without cutting corners. No hype, no vendor pitches, just the engineering choices that separate teams burning cash from teams shipping AI profitably at scale.",,"Devang Sharma is a Senior AI Engineer at Meta with over 8 years of experience building distributed systems and AI infrastructure at scale across Meta, Amazon, and Cisco. Throughout his career, he has shipped high-impact engineering solutions, including a core WhatsApp feature serving over 2 billion users, and led large-scale infrastructure optimization initiatives saving over $120,000 monthly. Beyond his corporate work, Devang is the Founder of TechElite India and an active global mentor who has guided more than 20,000 engineers through platforms such as Exponent, Topmate, Interviewing.io, and Tutort Academy."
,confirmed,Andrew Barkett,1,1,Miriel AI,Andrew Barkett.png,https://www.linkedin.com/in/andrew-barkett-9147473/,,,,"Your Agent Needs a Kernel, Not a Better Prompt","The thesis is that once an agent must remain responsive while doing long-running work, it stops being a chatbot and starts resembling an operating system. I’d show an architecture we’ve built at Miriel that separates real-time dialogue from deliberative work, with durable goals, a shared blackboard, system-call-like tool boundaries, and a scheduler that distinguishes progress, blocking, and runaway loops.
It would be a practical technical talk, grounded in working software and actual failure modes, but aimed at giving application developers a different mental model for how serious agents should be built.",,"Andy Barkett is the Founder and CEO of Miriel, bringing over 20 years of engineering and technology leadership across AI, databases, robotics, and consumer tech.
Previously, Andy worked on site reliability and search quality at Google and served as Director of Production Engineering at Facebook, where he led infrastructure, scalability, and performance for all major product lines. His executive background also includes serving as the first Chief Technology Officer for the Republican National Committee and leading technology strategy for Jeb Bush’s 2016 presidential campaign. In addition, he has served as CTO at Korbit, spearheading applied AI and big data implementations.
Andy holds a B.A. in Political Economy from UC Berkeley and an MBA from UC Davis. He is an active angel investor, startup advisor, guest lecturer across computer science and business at UC Berkeley and UC Davis, and an advisor for UC Berkeley’s Political Economy program."
,confirmed,Fahd Rafi,1,1,Noodle Seed,Fahd Rafi.png,https://www.linkedin.com/in/fahdrafi/,,,,The Deploy Line: When Software Becomes Infinite,"AI can generate a working agent application before you finish reading this abstract. That is not the same as operating one. As code, tools, and interfaces become abundant, scarcity moves across ""the deploy line"". From generating software to proving identity, authority, credential boundaries, reliability, and evidence for every action. Through a high-consequence workflow, this talk reconstructs the architecture on the far side of deployment and derives three laws for systems built to survive changing models, protocols, and agent hosts. You leave with a practical way to decide which parts of your stack should become disposable, and which must remain durable. When software becomes infinite, responsibility becomes the product.",,"Fahd Rafi is the founder of Noodle Seed, where he works on infrastructure that makes software callable and operable through AI agents. He previously worked at Google and spent nearly seven years at Microsoft in cloud, data, AI, and architecture roles. He holds an MS in Computer Science and studied business strategy and corporate finance at Oxford Saïd."
